"CDSTATIONM","LBSTATIONM","COORDXSTAT","COORDYSTAT","CODEDEPART","LBDEPARTEM","lat","lon","elevation"
1000217,"LA CANCHE G BRIMEUX (62)",616838.28,7039571.9,62,"PAS-DE-CALAIS",50.4480840177296,1.83081770611404,7.29
1001000,"LA SAMBRE CANALISLE I LOCQUIGNOL (59)",751470.47,7004903.06,59,"NORD",50.1402302724207,3.71922353872649,132.6
1001112,"LA SOMME CANALISEE S BOISMONT (80)",606174.44,7007707.22,80,"SOMME",50.1605194038983,1.6883602811569,2.59
1001122,"L'HELPE MAJEURE I EPPE SAUVAGE (59)",784224.69,7002720.08,59,"NORD",50.1170964259025,4.17640622103542,180.28
1001128,"L'HELPE MINEURE I ETROEUNGT (59)",766583.49,6996224.34,59,"NORD",50.0608751142151,3.92896164162307,151.52
1001133,"LE RUISSEAU DU PONT DE SAINS   ETROEUNGT (59)",769919.37,6995443.51,59,"NORD",50.0535013909705,3.9753640973077,158.97
1001148,"LE COURANT DE BERNISSART I CONDM SUR ESCAUT (59)",744318.03,7040518.58,59,"NORD",50.4605388692584,3.62321105722516,16.96
1001269,"LA RHONELLE T VILLEREAU (59)",750718.03,7015966.43,59,"NORD",50.2396348264922,3.71010008465601,141.48
1001283,"L'9CAILLON   BEAUDIGNIES (59)",742288.59,7015960.87,59,"NORD",50.240209006227,3.59208428355801,81.23
1001336,"L'HOGNEAU U GUSSIGNIES (59)",752609.33,7026734.16,59,"NORD",50.3361549713943,3.73798750540711,78.67
1001445,"LA TARSY D LEVAL (59)",759358.69,7009320.51,59,"NORD",50.1792030905046,3.83009103062969,132.06
1001452,"LE CLIGNEUX A SAINT RTMY DU NORD (59)",763864.73,7016039.25,59,"NORD",50.2390895080781,3.89416366929553,129.98
1001503,"LA HANTE A BOUSIGNIES SUR ROC (59)",784516.03,7019613.73,59,"NORD",50.2687422956313,4.18401279039377,138.68
1001785,"LA SOUCHEZ - SOUCHEZ (62)",681840.58,7032836.09,62,"PAS-DE-CALAIS",50.3928803144479,2.74498225875081,72.19
1002000,"LA SAMBRE CANALISDE 4 PONT-SUR-SAMBRE (59)",760804.93,7014666.98,59,"NORD",50.227071811801,3.85112003418355,128.74
1002100,"LA FLAMENNE 1 MAUBEUGE (59)",766728.45,7019141.99,59,"NORD",50.2666496688455,3.93476890038463,133.01
1003000,"LA SAMBRE CANALISQE R ASSEVENT (59)",772438.29,7021127.13,59,"NORD",50.2838395648151,4.01510450253577,125.1
1004000,"LA SAMBRE CANALISSE I JEUMONT (59)",778632.96,7022775.67,59,"NORD",50.2978941973091,4.1022243222648,125.69
1005000,"L'HELPE MINEURE 1 ROCQUIGNY (02)",770594.64,6992133.59,2,"AISNE",50.0236999437245,3.98420755495984,166.12
1005500,"L'HELPE MAJEURE I SEMERIES (59)",771653.92,7002785.58,59,"NORD",50.1192409987726,4.00085635951152,154.93
1006000,"L'HELPE MINEURE I MAROILLES (59)",752810.56,7005197.42,59,"NORD",50.1427625956171,3.73798667536496,131.11
1007000,"L'HELPE MAJEURE E SAINT HILAIRE SUR HELPE (59)",764482.52,7003731.04,59,"NORD",50.1285067403769,3.90084663340409,142.43
1008000,"L'HELPE MAJEURE   TAISNI RES-EN-THICRACHE (59)",758423.86,7005913.76,59,"NORD",50.1486990998538,3.81652638273155,134.43
1009000,"LA SOLRE L FERRI RE LA PETITE (59)",772711.61,7016217.25,59,"NORD",50.2397258544676,4.01804718619047,138.49
1009100,"LA RIVI RETTE 5 LANDRECIES (59)",749163.34,7002179.81,59,"NORD",50.115959294217,3.68665557743532,135.15
1009300,"LA SAMBRE RIVILRE - BERGUES SUR SAMBRE (02)",750400.39,6993196.94,2,"AISNE",50.0351876843376,3.70281566834654,147.1
1009600,"LA TROUILLE C VILLERS SIRE NICOLE (59)",773155.3,7028041.72,59,"NORD",50.3458327152663,4.02641056525268,97.28
1009700,"LA THURE L BERSILLIES L'ABBAYE (BELGIQUE)",782001.26,7018719.05,59,"NORD",50.2610433855031,4.14860529139721,144.63
1010000,"L'ESCAUT RIVIARE S CRCVECOEUR SUR ESCAUT (59)",717731.08,7000717.64,59,"NORD",50.1044979508139,3.24758821954126,64.06
1011000,"L'ESCAUT RIVI9RE S CANTAING-PROVILLE (59)",713426.49,7006219.71,59,"NORD",50.1540160696538,3.18766386177631,51.72
1012000,"L'ESCAUT CANALISL - ESWARS (59)",719635.61,7013172.19,59,"NORD",50.2162852093403,3.27478714787943,38.98
1013000,"L'ESCAUT CANALISI - NEUVILLE SUR ESCAUT (59)",724964.26,7022755.87,59,"NORD",50.3021473424703,3.34995153401902,30.91
