ID,area,p_agricole_tot,p_arable,p_grassland,p_forest,p_urban,p_other_land_uses,p_sedimentay,p_igneous,IDPR,annual_specific_runoff,p_waterbody,p_wetland_mediumConf,p_wetland_highConf,p_wetland_veryHighConf,p_not_wetland,bioGeoRegion
1121000,0.014947,30.43478261,30.43478261,0,0,69.56521739,0,0,100,NA,NA,0,0,12.5,87.5,0,atlantic
2107600,0.145081456,100,0,82.55319149,0,0,0,0,100,NA,NA,0,9.677419355,6.451612903,16.12903226,67.74193548,continental
1109500,0.4330195,70.28571429,58.28571429,12,0,29.71428571,7.11e-15,0,100,NA,305,0,0,94.85714286,5.142857143,0,atlantic
5218450,0.467675854,0,0,0,65.36912752,0,34.63087248,0,100,1241,NA,0,0,0,0,100,alpine
5181900,0.467695609,80.91503268,6.274509804,0,17.12418301,1.960784314,0,74.4646137,25.5353863,NA,299,0,22.34042553,1.595744681,23.93617021,52.12765957,atlantic
6180500,0.467696006,100,61.05960265,0,0,0,0,0,100,76,155,0,0,86.09625668,13.90374332,0,mediterranean
5234003,0.467714269,100,100,0,0,0,0,100,0,NA,NA,0,4.324324324,1.621621622,90.81081081,3.243243243,atlantic
5165150,0.467714907,82.19544846,2.677376171,0,0,17.80455154,0,99.29737529,0.702624712,1860,NA,0,0.526315789,11.57894737,13.68421053,74.21052632,atlantic
5162800,0.467717126,70.72847682,70.72847682,0,29.27152318,0,0,4.346010814,95.65398919,NA,NA,0,6.417112299,1.069518717,21.92513369,70.58823529,atlantic
5139200,0.467730994,30.58510638,0,30.58510638,69.41489362,0,0,2.62990658,97.37009342,875,976,0,3.723404255,5.319148936,0,90.95744681,continental
5229250,0.467746593,71.00671141,71.00671141,0,28.99328859,0,0,100,0,1130,NA,0,6.770833333,3.645833333,1.041666667,88.54166667,atlantic
5229100,0.467754431,73.86666667,73.86666667,0,26.13333333,0,0,100,0,NA,242,0,9.042553191,3.723404255,36.70212766,50.53191489,atlantic
6211700,0.467764955,26.97986577,0,26.97986577,72.34899329,0,0.67114094,100,0,1442,NA,0,0,0,0.549450549,99.45054945,mediterranean
5128020,0.467788677,84.77970628,0,84.77970628,15.22029372,0,1.78e-15,0,100,968,NA,0,28.87700535,1.604278075,4.278074866,65.24064171,continental
5127800,0.467791314,91.7989418,0,91.7989418,8.201058201,0,1.78e-15,92.22889954,7.771100462,1100,NA,0,4.6875,2.083333333,4.166666667,89.0625,continental
